Country,Company Name,Website,Email,,Main Product
United States of America,BIG DAISHOWA,https://www.bigdaishowa.com,,,"BIG DAISHOWA designs, manufactures and markets high-precision tooling systems and solutions for the automotive, aerospace, medical, agriculture and energy industries. Our portfolio includes CNC tool holders, precision boring tools, cutting tools, too"
United States of America,Blue Photon Technology & Workholding Systems LLC,https://www.bluephotongrip.com,sales@bluephotongrip.com,,Blue Photon Technology & Workholding solves the most complex workholding challenges for manufacturers across a wide range of industries. Our revolutionary Adhesive Workholding® technology securely holds parts while eliminating the limitations of trad
United States of America,Haimer USA,https://www.haimer.com/us,media--4b61310e--query@2x.webp,,"HAIMER is a first class German Tool Holder manufacturer. From the basics of face-mill arbors and ER collet chucks, all the way up to High Precision Collet and Shrink Fit Chucks, HAIMER has the tools necessary to satisfy and exceed your machining cent"
United States of America,"Horn USA, Inc.",https://www.horn-group.com/us,info@us.horn-group.com,,"We turn technical ideas into precise, reliable machining results. Through advanced cutting materials, engineering, and application-driven solutions, we help manufacturers solve real problems, improve their processes, and move faster — because speed m"
United States of America,iSwiss Corporation,https://iswisstools.com/,sales@iswisstools.com,,iSwiss specializes in high quality tool & working and cutting tools. We created our business around providing customers the best quality with faster lead times.
United States of America,Kennametal Inc.,https://www.kennametal.com/us/en/home.html,email@address.com,,"Our story is one of continuous innovation. It starts in 1938 with our founder, metallurgist Philip M. McKenna, who after years of research created a tungsten-titanium carbide alloy specifically for cutting tools. That single development not only led "
United States of America,"SCHUNK, Inc.",https://www.schunk.com,,,"SCHUNK is a worldwide leader for equipping modern manufacturing and robot systems. More than 3,500 employees in 9 plants and 34 owned subsidiaries ensure an intensive market presence. With more than 11,000 standard components, SCHUNK offers the world"
United States of America,Scientific Cutting Tools,https://sct-usa.com/,info@sct-usa.com,,"Scientific Cutting Tools (SCT) is a family-owned American manufacturer based in southern California. Since 1963, we have designed and ground precision carbide cutting tools that deliver reliable accuracy, predictable tool life, and clean finishes in "
United States of America,SMW AUTOBLOK CORPORATION,https://www.smwautoblok.com/us/en,,,"Established in 1942, SMW Autoblok is a global leader of engineering and manufacturing high quality workholding, clamping, gripping, tooling and wireless induction technology for diverse industries including but not limited to: industrial equipment, a"
United States of America,3nine USA,https://www.3nine.us,info@3nine.de,,3nine is the world leader in “disc stack” separation for eliminating oil mist produced by CNC machines.  Our technology provides for a cleaner and healthier shop environment.
United States of America,5th Axis Inc.,https://www.5thaxis.com,workholding@5thaxis.com,,"Regarded as one of the world’s most innovative manufacturers, 5th Axis offers a full range of workholding solutions.  5th Axis’s product line includes vises, fixtures, dovetail cutters and the ever-popular Rock Lock quick-change system that provides "
United States of America,AB Tools Inc.,https://abtoolsinc.com/,mail@abtoolsinc.com,,"USA made since 1977, Special Cutting Tools, Home of the Shear Hog® & Accu-hold, Indexable Dovetails, O-Ring grooving tools, Keyseat cutters, Firearms tooling in stock & Specials to your specs in 5-6 workdays."
United States of America,ABS Import Tools Inc.,https://www.absimporttools.com,,,"Henry Xu founded ABS Import Tools in 1992 to provide high-quality tools and industrial supplies at competitive prices. With a 98% fill rate, the company ensures swift shipping and reliable service. ABS Import Tools now offers products from Dasqua and"
United States of America,ACCF International Inc - SLOKY USA,https://www.slokyusa.com,info@slokyusa.com,,"Sloky USA specializes in patented preset torque screwdrivers and adapters for all industries. Their color-coded, interchangeable tools ensure screws are accurately tightened to manufacturer-defined specifications, preventing part damage and guarantee"
Taiwan R.O.C.,"ACCU-CUT Industrial Co., Ltd",https://www.accu-cut.com.tw,accucut.sales@gmail.com,,
United States of America,Accutek,https://www.accutekusa.com,,,"Accutek® is a premier manufacturer of tool holding and work holding solutions. Given the constant evolution of tooling and machining technology plus the ever-increasing needs of our customers for greater accuracy and efficiency, Accutek is committed "
Lake Orion MI 48361,Achieve Technologies Inc,https://livetoolsdirect.com/,sales@livetoolsdirect.com,,"Founded in 2015, Achieve Technologies is a leader in CNC turrets, live tooling, and machine tool robot technology across North America. Our manufacturing engineering experts provide cross-brand service, diagnostics, lathe turret and CNC spindle rebui"
China,"ADVANCED NANO COATING TECHNOLOGY CO.,LTD.",https://www.czanc.com,leo.feng@vip.163.com,,
United States of America,AH Group,https://ahgroupna.com/,,,"AH Group (certified Minority Business Enterprise) is the global leader in industrial repair management solutions. AH currently serves major OEM and tier-one Fortune 500 companies in the Automotive, Food/Beverage, Retail, Oil & Gas, Equipment, and Con"
Boca Raton FL 33487,Air Turbine Tools,https://www.airturbinetools.com,,,"With power up to 1.4 hp Air Turbine Tools, Motors and Spindles® stay at rated 25,000 to 90,000 RPM in cut. These unique powerful direct drives operate with no heat, no duty cycle and no maintenance with ultra low vibration. Just connect 90 PSI and se"
United States of America,"Airflow Systems, Inc.",https://www.airflowsystems.com,,,"Airflow Systems, Inc., based in Dallas, TX, manufactures 100% American-made air filtration and source capture systems. Since 1985, they’ve provided dust, mist, fume, and exhaust removal solutions engineered for safety, compliance, and efficiency. The"
United States of America,Allied Machine & Engineering,https://www.alliedmachine.com,,,Allied Machine & Engineering Corp is a leading manufacturer of holemaking and finishing tooling systems. Allied devotes its advanced engineering and manufacturing capabilities to create the widest selection of value-added tooling available to metal-c
